Username,Password,Name,DOB,DiagnosisName,MedicineName,BP,HeartRate,Temp,SpO2,Notes,IsChronic,Severity,Dosage,Frequency,Duration
user1,Pass@4591,Kyle Armstrong,1976-05-06,Flu,Amlodipine,130/72,83,101.1,91,Respond enough number.,False,Medium,2 tablets,Thrice a day,9 days
user2,Pass@1461,Jennifer Irwin,1995-01-19,Migraine,Azithromycin,117/86,98,98.1,97,News six generation network sell lot live.,False,High,1 tablets,Once a day,3 days
user3,Pass@4406,Derrick Miranda,2003-08-24,Diabetes,Amlodipine,108/82,88,99.2,93,Life someone weight fish other staff front.,False,Medium,2 tablets,Twice a day,9 days
user4,Pass@5104,Maria Reilly,1954-12-27,Hypertension,Azithromycin,93/64,63,98.0,98,Product heart phone.,True,High,2 tablets,Twice a day,5 days
user5,Pass@4749,Michael Marshall,1971-10-30,Migraine,Ibuprofen,129/84,97,100.3,96,Who outside have network idea media most.,True,High,1 tablets,Twice a day,5 days
user6,Pass@2256,Robert Diaz,1960-12-18,Hypertension,Amlodipine,125/86,73,97.4,92,Draw simply policy with actually fly public.,False,Low,2 tablets,Once a day,12 days
user7,Pass@1787,Jason Hernandez,1987-11-27,Migraine,Metformin,119/60,87,101.5,93,In country difference.,True,High,2 tablets,Once a day,7 days
user8,Pass@5183,Dr. Jordan Jordan MD,2006-02-21,Covid-19,Metformin,97/86,65,100.8,100,Moment back responsibility concern class long.,False,Low,1 tablets,Twice a day,7 days
user9,Pass@7936,Timothy Barker,1997-10-29,Asthma,Paracetamol,98/82,98,99.1,96,Professional young section drug sister.,True,Medium,2 tablets,Twice a day,11 days
user10,Pass@1856,Russell Hicks,1967-08-29,Flu,Ibuprofen,116/69,74,98.6,96,Glass medical simply head region strategy today.,False,High,1 tablets,Once a day,8 days
user11,Pass@2462,Kevin Clark,1983-06-13,Diabetes,Ibuprofen,105/73,85,99.9,94,Garden situation no this attorney left heavy.,False,Medium,1 tablets,Thrice a day,3 days
user12,Pass@8198,Susan Clark,1988-01-14,Diabetes,Ibuprofen,120/67,71,98.9,91,Man particular newspaper meet fire relationship heart.,False,Low,1 tablets,Once a day,9 days
user13,Pass@7121,Jonathan Jones,1960-10-09,Diabetes,Azithromycin,133/84,75,99.8,93,Onto tell so finally writer.,False,Low,1 tablets,Thrice a day,6 days
user14,Pass@9550,Justin Gross,1959-10-17,Covid-19,Paracetamol,120/70,85,98.4,90,State former student near deal alone.,False,Medium,1 tablets,Twice a day,10 days
