Username,Password,Email,Name,DOB,VisitDate,VisitFrequency,DoctorName,DiagnosisName,IsChronic,Severity,ProgressScore,MedicineName,Dosage,Frequency,Duration,BP,HeartRate,Temp,SpO2,Notes
user1,Pass@2968,parksabrina@example.org,Mark Velez,1963-12-07,2025-08-11,4,Dr. Kavita Reddy,Diabetes,False,Low,73,Paracetamol,2 tablets,Thrice,8 days,120/63,72,98.4,98,To building well education animal even structure.
user1,Pass@2968,parksabrina@example.org,Mark Velez,1963-12-07,2025-10-21,4,Dr. Neha Verma,Hypertension,False,Medium,63,Amlodipine,2 tablets,Once,3 days,107/61,63,97.1,92,Catch look assume east sit.
user1,Pass@2968,parksabrina@example.org,Mark Velez,1963-12-07,2025-11-14,4,Dr. Kavita Reddy,Hypertension,False,Medium,78,Paracetamol,2 tablets,Twice,10 days,120/77,88,98.7,99,Understand career exist her various institution blood.
user1,Pass@2968,parksabrina@example.org,Mark Velez,1963-12-07,2026-02-01,4,Dr. Anil Kumar,Asthma,False,Low,84,Amlodipine,1 tablets,Once,5 days,122/62,73,99.6,96,Here into woman model drug which international.
user2,Pass@7504,sean76@example.com,Rachael Stone,1988-10-08,2025-10-18,2,Dr. Kavita Reddy,Migraine,False,Low,35,Atorvastatin,2 tablets,Thrice,9 days,112/60,70,97.2,95,Even break traditional firm democratic kind another.
user2,Pass@7504,sean76@example.com,Rachael Stone,1988-10-08,2026-02-14,2,Dr. Neha Verma,Asthma,False,Medium,30,Amlodipine,2 tablets,Thrice,5 days,118/63,73,97.5,95,Figure could religious one pull they several.
user3,Pass@1454,kendrabarron@example.com,Krista Lynch,1974-03-20,2025-10-15,6,Dr. Anil Kumar,Thyroid Disorder,True,Medium,75,Levothyroxine,1 tablets,Once,10 days,128/75,66,98.7,96,Top month challenge now institution official action high.
user3,Pass@1454,kendrabarron@example.com,Krista Lynch,1974-03-20,2025-10-23,6,Dr. Rajesh Singh,Migraine,True,High,80,Atorvastatin,2 tablets,Twice,3 days,137/66,92,98.5,100,Upon but activity must probably rate less.
user3,Pass@1454,kendrabarron@example.com,Krista Lynch,1974-03-20,2025-10-28,6,Dr. Priya Sharma,Thyroid Disorder,True,Low,72,Levothyroxine,1 tablets,Twice,6 days,135/76,80,99.5,99,Again church store employee.
user3,Pass@1454,kendrabarron@example.com,Krista Lynch,1974-03-20,2025-12-28,6,Dr. Rajesh Singh,Thyroid Disorder,True,Low,87,Salbutamol,2 tablets,Once,9 days,104/64,91,100.2,99,I could mission start animal great.
user3,Pass@1454,kendrabarron@example.com,Krista Lynch,1974-03-20,2026-01-18,6,Dr. Anil Kumar,Migraine,True,Low,76,Levothyroxine,1 tablets,Twice,3 days,126/81,64,98.5,93,Now power exist team executive phone.
user3,Pass@1454,kendrabarron@example.com,Krista Lynch,1974-03-20,2026-03-30,6,Dr. Anil Kumar,Thyroid Disorder,True,Low,87,Amlodipine,2 tablets,Thrice,6 days,121/79,79,98.3,99,Establish word organization it become man response.
user4,Pass@9789,shelia85@example.net,Tina Parker,1980-08-21,2025-09-22,2,Dr. Neha Verma,Migraine,True,Medium,50,Paracetamol,1 tablets,Thrice,3 days,125/69,97,98.8,94,Tend prepare fire finally couple artist.
user4,Pass@9789,shelia85@example.net,Tina Parker,1980-08-21,2025-12-13,2,Dr. Priya Sharma,Cardiac Issue,True,Low,56,Metformin,1 tablets,Thrice,3 days,136/67,87,97.3,99,Care do article single far.
user5,Pass@2359,rhernandez@example.com,Amanda Perez,1970-05-15,2025-08-17,3,Dr. Anil Kumar,Migraine,True,High,42,Salbutamol,1 tablets,Thrice,8 days,134/87,74,100.2,93,Remain discover middle north attack.
user5,Pass@2359,rhernandez@example.com,Amanda Perez,1970-05-15,2025-09-17,3,Dr. Kavita Reddy,Thyroid Disorder,True,High,34,Metformin,2 tablets,Thrice,5 days,116/61,75,98.0,97,Business cover energy detail east Congress.
user5,Pass@2359,rhernandez@example.com,Amanda Perez,1970-05-15,2025-09-27,3,Dr. Neha Verma,Migraine,True,Medium,40,Amlodipine,2 tablets,Once,9 days,103/65,80,97.9,99,West civil share with ground during technology less.
user6,Pass@3026,vgarcia@example.org,James Wilson,1974-02-22,2025-08-31,3,Dr. Priya Sharma,Migraine,True,High,46,Paracetamol,2 tablets,Twice,8 days,119/63,85,100.0,97,Town recognize much when strong.
user6,Pass@3026,vgarcia@example.org,James Wilson,1974-02-22,2026-01-07,3,Dr. Priya Sharma,Cardiac Issue,True,Low,41,Metformin,1 tablets,Once,4 days,116/79,63,97.5,95,Team rule attorney machine house time.
user6,Pass@3026,vgarcia@example.org,James Wilson,1974-02-22,2026-03-26,3,Dr. Kavita Reddy,Hypertension,True,Low,40,Amlodipine,1 tablets,Twice,10 days,135/65,87,100.6,93,Treatment idea fight identify imagine support.
user7,Pass@4067,eric94@example.net,Tracey Elliott,2001-12-16,2025-09-05,6,Dr. Kavita Reddy,Asthma,False,High,38,Metformin,2 tablets,Once,7 days,139/68,70,99.2,92,Concern woman read.
user7,Pass@4067,eric94@example.net,Tracey Elliott,2001-12-16,2025-09-29,6,Dr. Rajesh Singh,Asthma,False,Low,30,Amlodipine,1 tablets,Once,10 days,130/74,83,100.9,97,Without gas consider next.
user7,Pass@4067,eric94@example.net,Tracey Elliott,2001-12-16,2025-10-20,6,Dr. Kavita Reddy,Asthma,False,High,48,Metformin,1 tablets,Once,5 days,118/74,70,98.7,95,Story Republican character.
user7,Pass@4067,eric94@example.net,Tracey Elliott,2001-12-16,2026-01-19,6,Dr. Priya Sharma,Migraine,False,Low,45,Atorvastatin,1 tablets,Once,7 days,101/85,78,97.7,98,Future whose without across finish create.
user7,Pass@4067,eric94@example.net,Tracey Elliott,2001-12-16,2026-03-24,6,Dr. Neha Verma,Migraine,False,Medium,42,Metformin,1 tablets,Once,7 days,129/84,62,99.6,94,Money up certain argue service what design together.
user7,Pass@4067,eric94@example.net,Tracey Elliott,2001-12-16,2026-03-31,6,Dr. Priya Sharma,Thyroid Disorder,False,Medium,42,Levothyroxine,2 tablets,Twice,4 days,137/87,92,100.9,98,These system student why.
user8,Pass@7866,elizabeth25@example.com,Danielle Dennis,1965-12-23,2025-12-23,2,Dr. Priya Sharma,Cardiac Issue,True,Medium,50,Salbutamol,2 tablets,Once,5 days,117/83,89,99.6,96,Check property form paper whose.
user8,Pass@7866,elizabeth25@example.com,Danielle Dennis,1965-12-23,2026-03-19,2,Dr. Priya Sharma,Thyroid Disorder,True,Medium,55,Levothyroxine,2 tablets,Twice,4 days,120/88,83,97.9,97,Pretty politics movement.
user9,Pass@9766,jane83@example.net,Sheri Murphy,1984-01-28,2025-08-29,6,Dr. Rajesh Singh,Asthma,False,Low,46,Salbutamol,1 tablets,Once,6 days,125/64,82,99.5,97,Risk decade approach information.
user9,Pass@9766,jane83@example.net,Sheri Murphy,1984-01-28,2025-09-23,6,Dr. Neha Verma,Asthma,False,Medium,51,Amlodipine,1 tablets,Thrice,5 days,136/85,65,99.4,94,Recognize team among article later very exist.
user9,Pass@9766,jane83@example.net,Sheri Murphy,1984-01-28,2025-11-18,6,Dr. Anil Kumar,Diabetes,False,Medium,53,Atorvastatin,1 tablets,Twice,7 days,116/88,88,99.4,95,Beyond discussion concern ability cell bar leader.
user9,Pass@9766,jane83@example.net,Sheri Murphy,1984-01-28,2026-01-12,6,Dr. Rajesh Singh,Asthma,False,Medium,57,Atorvastatin,1 tablets,Thrice,6 days,123/62,80,100.3,96,Eye region produce light cold.
user9,Pass@9766,jane83@example.net,Sheri Murphy,1984-01-28,2026-02-02,6,Dr. Anil Kumar,Asthma,False,Medium,56,Paracetamol,2 tablets,Once,8 days,102/73,67,100.5,93,Music feeling rule their current try.
