Username,Password,Email,Name,DOB,VisitDate,VisitFrequency,DoctorName,ReasonForVisit,DiagnosisName,IsChronic,Severity,ProgressScore,MedicineName,Dosage,Frequency,Duration,BP,HeartRate,Temp,SpO2,Notes
user1,Pass@7293,alfredthomas@example.com,David Morales,1950-11-26,2026-01-13,2,Dr. Anil Kumar,Headache,Diabetes,False,High,57,Atorvastatin,2 tablets,Once,10 days,126/68,87,100.2,96,Run item full marriage answer place black worry.
user1,Pass@7293,alfredthomas@example.com,David Morales,1950-11-26,2026-02-25,2,Dr. Kavita Reddy,Injury,Hypertension,False,Medium,59,Amlodipine,2 tablets,Twice,4 days,121/61,72,100.5,96,Tv general think war against girl tend.
user2,Pass@1951,kevin97@example.net,Denise Navarro,1974-11-10,2025-11-02,3,Dr. Neha Verma,Chest Pain,Hypertension,True,Medium,46,Metformin,2 tablets,Thrice,8 days,107/73,87,100.8,99,What contain prevent compare.
user2,Pass@1951,kevin97@example.net,Denise Navarro,1974-11-10,2025-12-27,3,Dr. Anil Kumar,Injury,Asthma,True,Low,43,Atorvastatin,2 tablets,Once,7 days,126/86,96,99.7,98,Mother such analysis consider form meet.
user2,Pass@1951,kevin97@example.net,Denise Navarro,1974-11-10,2026-03-02,3,Dr. Neha Verma,Headache,Diabetes,True,Low,43,Levothyroxine,1 tablets,Twice,7 days,109/86,99,97.6,96,Behind second nice tell.
user3,Pass@8947,amartinez@example.org,Beverly Sanchez DDS,1984-10-01,2025-08-20,3,Dr. Anil Kumar,Chest Pain,Migraine,True,Medium,52,Salbutamol,1 tablets,Once,5 days,117/82,100,97.7,93,Matter chance leave several poor change trade.
user3,Pass@8947,amartinez@example.org,Beverly Sanchez DDS,1984-10-01,2025-09-19,3,Dr. Kavita Reddy,Chest Pain,Cardiac Issue,True,High,55,Paracetamol,1 tablets,Thrice,6 days,107/82,89,97.3,97,Executive politics management wait.
user3,Pass@8947,amartinez@example.org,Beverly Sanchez DDS,1984-10-01,2025-12-22,3,Dr. Anil Kumar,Injury,Cardiac Issue,True,Low,65,Atorvastatin,1 tablets,Once,9 days,104/67,63,100.7,100,Husband yourself soldier side reach stay its.
user4,Pass@2294,michele04@example.org,Caleb Robbins,1977-02-28,2025-10-26,2,Dr. Kavita Reddy,Injury,Cardiac Issue,False,Medium,33,Salbutamol,2 tablets,Twice,7 days,135/72,88,100.7,96,Nearly usually safe product subject story sort actually.
user4,Pass@2294,michele04@example.org,Caleb Robbins,1977-02-28,2025-11-25,2,Dr. Neha Verma,Chest Pain,Hypertension,False,Low,38,Levothyroxine,2 tablets,Twice,8 days,113/75,76,98.2,95,Tv air significant fine yes different.
user5,Pass@4022,angelicasherman@example.net,Adam Coleman Jr.,1969-03-27,2025-09-03,6,Dr. Priya Sharma,Injury,Cardiac Issue,False,Medium,38,Levothyroxine,2 tablets,Twice,7 days,134/60,69,98.1,100,Animal cost discuss his film.
user5,Pass@4022,angelicasherman@example.net,Adam Coleman Jr.,1969-03-27,2025-09-03,6,Dr. Neha Verma,Chest Pain,Diabetes,False,Medium,50,Amlodipine,2 tablets,Once,5 days,140/70,67,98.3,94,Stand care question course.
user5,Pass@4022,angelicasherman@example.net,Adam Coleman Jr.,1969-03-27,2025-10-11,6,Dr. Kavita Reddy,Skin Issue,Hypertension,False,High,42,Amlodipine,1 tablets,Once,10 days,135/77,83,98.2,96,Eight teacher up sport across hope strategy.
